Id_station;Id_omm;Nom_usuel;Latitude;Longitude;Altitude;Date_ouverture;Pack
97419380;;BELLECOMBE-JACOB;-21.217833;55.687000;2245;1966-11-01;RADOME
97420110;;GRAND-HAZIER - CIRAD;-20.902833;55.586000;69;1953-01-01;ETENDU
97420150;;BAGATELLE_SAPC;-20.931000;55.576667;262;1953-01-01;ETENDU
97420180;;BRAS-PISTOLET_SAPC;-20.969000;55.587500;556;2002-12-01;ETENDU
97421210;;MARE A VIEILLE PLACE;-21.027833;55.512167;870;1989-07-01;ETENDU
97421220;;GRAND-ILET_SAPC;-21.028667;55.471667;1185;1973-07-01;ETENDU
97421240;;SALAZIE-VILLAGE_SAPC;-21.031667;55.538500;476;1996-01-01;ETENDU
97421260;;BELOUVE_SAPC;-21.060833;55.536500;1500;1955-09-01;ETENDU
97421265;;ILET A VIDOT_SAPC;-21.063167;55.510333;940;2003-12-01;ETENDU
97422440;;PLAINE DES CAFRES;-21.209167;55.572833;1560;1948-01-01;RADOME
97422445;;BRAS-SEC;-21.205667;55.525167;1210;1969-11-15;ETENDU
97422455;;PONT D'YVES;-21.231333;55.503167;835;1977-07-19;ETENDU
97422465;;LE TAMPON - CIRAD;-21.251667;55.530333;860;1958-01-01;ETENDU
97424410;;CILAOS;-21.134167;55.471667;1197;1952-01-01;RADOME
97424450;;ILET A CORDES_SAPC;-21.153500;55.438167;1067;1977-08-08;ETENDU
97424460;;PALMISTE-ROUGE;-21.168667;55.474500;830;1962-01-01;ETENDU
97502001;71805;ST-PIERRE;46.766333;-56.179167;21;1966-01-01;RADOME
98403001;61968;GLORIEUSES;-11.582667;47.289667;3;1960-01-01;RADOME
98403002;61970;JUAN DE NOVA;-17.054667;42.712000;9;1974-01-01;RADOME
98403003;61972;EUROPA;-22.344167;40.340667;6;1951-01-01;RADOME
98403004;61976;TROMELIN;-15.887667;54.520667;7;1955-01-01;RADOME
98404001;61998;KERGUELEN;-49.352333;70.243333;29;1950-01-02;RADOME
98404002;61996;NOUVELLE AMSTERDAM;-37.795167;77.569167;27;1950-04-01;RADOME
98404003;89642;DUMONT D'URVILLE;-66.663167;140.001000;43;1956-01-18;RADOME
98404004;61997;CROZET;-46.432500;51.856667;146;1974-01-01;RADOME
98502001;;DZOUMOGNE_SAPC;-12.715000;45.105333;60;1935-01-01;ETENDU
98507002;;DEMBENI;-12.842333;45.182333;20;1994-01-01;ETENDU
98508001;67005;PAMANDZI;-12.805500;45.282833;7;1947-01-01;RADOME
98510002;;TREVANI;-12.729500;45.192500;14;1993-01-01;RADOME
